idcode,year,birth_yr,age,race,msp,nev_mar,grade,collgrad,not_smsa,c_city,south,ind_code,occ_code,union,wks_ue,ttl_exp,tenure,hours,wks_work,ln_wage
1,70,51,18,"black",0,1,12,0,0,1,0,6,3,,2,1.083333,.0833333,20,27,1.451214
1,71,51,19,"black",1,0,12,0,0,1,0,4,6,,22,1.275641,.0833333,44,10,1.02862
1,72,51,20,"black",1,0,12,0,0,1,0,4,6,1,0,2.25641,.9166667,40,51,1.589977
1,73,51,21,"black",1,0,12,0,0,1,0,4,6,,0,2.314102,.0833333,40,3,1.780273
1,75,51,23,"black",1,0,12,0,0,1,0,5,6,,0,2.775641,.1666667,10,24,1.777012
1,77,51,25,"black",0,0,12,0,0,1,0,12,8,0,0,3.775641,1.5,32,52,1.778681
1,78,51,26,"black",0,0,12,0,0,1,0,5,6,,7,3.852564,.0833333,52,4,2.493976
1,80,51,28,"black",0,0,12,0,0,1,0,5,6,1,0,5.294872,1.833333,45,75,2.551715
1,83,51,31,"black",0,0,12,0,0,1,0,5,6,1,,5.294872,.6666667,49,101,2.420261
1,85,51,33,"black",0,0,12,0,0,1,0,5,6,1,0,7.160256,1.916667,42,97,2.614172
1,87,51,35,"black",0,0,12,0,0,0,0,5,6,1,0,8.98718,3.916667,45,95,2.536374
1,88,51,37,"black",0,0,12,0,0,0,0,5,6,1,0,10.33333,5.333333,48,70,2.462927
2,71,51,19,"black",1,0,12,0,0,1,0,4,3,0,19,.7115384,.25,40,13,1.360348
2,72,51,20,"black",1,0,12,0,0,1,0,4,3,,6,1.134615,1,40,22,1.206198
2,73,51,21,"black",1,0,12,0,0,1,0,4,6,,35,1.461538,.3333333,40,17,1.549883
2,75,51,23,"black",1,0,12,0,0,1,0,4,6,,0,2.211539,.6666667,40,39,1.832581
2,77,51,25,"black",1,0,12,0,0,1,0,4,6,1,0,3.211539,2.666667,40,52,1.726721
2,78,51,26,"black",1,0,12,0,0,1,0,4,6,1,0,4.211538,3.666667,40,52,1.68991
2,80,51,28,"black",1,0,12,0,0,1,0,4,6,1,,6.096154,5.583333,40,98,1.726964
2,82,51,30,"black",1,0,12,0,0,1,0,4,6,1,,7.666667,7.666667,38,78,1.808289
2,83,51,31,"black",1,0,12,0,0,1,0,4,6,1,12,8.583333,8.583333,38,37,1.863417
2,85,51,33,"black",0,0,12,0,0,1,0,4,6,1,4,10.17949,1.833333,38,83,1.789367
2,87,51,35,"black",0,0,12,0,0,1,0,4,6,1,,12.17949,3.75,40,,1.84653
2,88,51,37,"black",0,0,12,0,0,1,0,4,5,1,0,13.62179,5.25,40,75,1.856449
3,68,45,22,"black",0,1,12,0,0,1,0,4,6,,0,.9230769,0,40,48,1.493561
3,69,45,23,"black",0,1,12,0,0,1,0,4,6,,0,1.5,.3333333,40,30,1.702528
3,70,45,24,"black",0,1,12,0,0,1,0,4,6,,6,2.423077,.5,40,48,1.451214
3,71,45,25,"black",0,1,12,0,0,1,0,4,3,0,0,3.442308,1.416667,40,53,1.54742
3,72,45,26,"black",0,1,12,0,0,1,0,4,3,0,0,4.442307,2.416667,40,52,1.607294
3,73,45,27,"black",0,1,12,0,0,1,0,4,3,0,0,5.384615,3.333333,40,49,1.597267
3,75,45,29,"black",0,1,12,0,0,1,0,4,3,,23,5.942307,.4166667,40,29,1.53585
3,77,45,31,"black",0,1,12,0,0,1,0,4,3,0,0,6.942307,2.416667,40,52,1.622841
3,78,45,32,"black",0,1,12,0,0,1,0,4,3,0,0,7.980769,3.416667,40,54,1.566635
3,80,45,34,"black",0,1,12,0,0,1,0,4,3,0,,9.865385,5.333333,40,98,1.559723
3,82,45,36,"black",0,1,12,0,0,1,0,4,3,0,,11.75,7.333333,40,98,1.603419
3,83,45,37,"black",0,1,12,0,0,1,0,4,3,0,0,12.61539,8.333333,40,45,1.614229
3,85,45,39,"black",0,1,12,0,0,1,0,4,3,0,,14.61539,10.33333,40,104,1.730799
3,87,45,41,"black",0,1,12,0,0,1,0,4,3,0,14,16.34615,.4166667,40,90,1.525765
3,88,45,42,"black",0,1,12,0,0,1,0,4,3,,4,17.73077,1.25,40,72,1.612777
4,70,45,24,"white",0,1,17,1,0,1,0,11,13,1,0,2.25,1.416667,35,55,2.2885
4,71,45,25,"white",1,0,17,1,0,0,0,11,13,1,0,3.192308,2.416667,35,49,2.375578
4,72,45,26,"white",1,0,17,1,0,0,0,11,13,1,0,4.211538,3.416667,35,53,2.413923
4,73,45,27,"white",1,0,17,1,0,0,0,11,13,,0,4.576923,3.75,40,19,2.280939
4,75,45,29,"white",1,0,17,1,0,0,0,11,13,,0,5.384615,3.75,43,42,2.258814
4,80,45,34,"white",1,0,17,1,0,0,0,11,13,0,0,5.692307,.3333333,45,16,1.476236
4,82,45,36,"white",1,0,17,1,0,0,0,11,13,0,,7.576923,2.416667,48,98,1.280933
4,83,45,37,"white",1,0,17,1,0,0,0,11,13,0,0,8.384615,3.416667,43,42,1.515855
4,85,45,39,"white",1,0,17,1,0,0,0,11,13,0,,10.38461,5.416667,35,104,1.93017
4,87,45,41,"white",1,0,17,1,0,0,0,11,8,1,0,12.03846,.3333333,42,86,1.919034
4,88,45,43,"white",1,0,17,1,0,0,0,11,13,1,0,13.21154,1.75,42,61,2.200974
5,68,45,22,"white",0,1,12,0,0,1,0,4,3,,0,1,0,40,52,1.627093
5,69,45,23,"white",0,1,12,0,0,1,0,7,3,,0,2,.8333333,40,52,1.787686
5,70,45,24,"white",0,1,12,0,0,1,0,7,3,0,0,3.076923,1.916667,40,56,1.820858
5,71,45,25,"white",0,1,12,0,0,1,0,7,3,0,0,4.038462,2.916667,40,50,1.858522
5,72,45,26,"white",0,1,12,0,0,1,0,4,3,0,0,5.038462,.6666667,40,52,1.979301
5,73,45,27,"white",0,1,12,0,0,1,0,4,3,0,0,6.038462,1.666667,40,52,1.990412
5,75,45,29,"white",0,1,12,0,0,1,0,8,3,,24,6.576923,.3333333,40,28,1.585505
5,77,45,31,"white",1,0,12,0,0,1,0,4,3,0,0,7.576923,1.75,40,52,1.937521
5,78,45,32,"white",1,0,12,0,0,1,0,4,3,,1,7.846154,.3333333,40,14,2.070492
5,80,45,34,"white",1,0,12,0,0,1,0,4,3,0,,9.346154,1.833333,40,78,1.830269
5,82,45,36,"white",1,0,12,0,0,1,0,4,3,0,0,10.73077,3.333333,40,72,1.847272
6,68,46,21,"white",0,1,12,0,0,1,0,4,6,,0,.2884615,.1666667,40,15,1.521732
6,69,46,22,"white",1,0,12,0,0,1,0,4,6,,0,1.038462,,40,39,1.479384
6,70,46,23,"white",1,0,12,0,0,0,0,4,6,,0,1.038462,1,40,0,1.479384
6,71,46,24,"white",0,0,12,0,0,1,0,4,6,0,0,1.384615,.4166667,40,18,1.518572
6,72,46,25,"white",0,0,12,0,0,1,0,4,6,0,0,2.442308,1.416667,43,55,1.607294
6,73,46,26,"white",0,0,12,0,0,1,0,4,6,0,0,3.384615,2.333333,40,49,1.809742
6,75,46,28,"white",1,0,12,0,0,0,0,4,6,,0,4.416667,4.416667,45,52,1.853972
6,77,46,30,"white",1,0,12,0,0,0,0,4,6,0,0,6.416667,6.416667,40,52,1.96311
6,78,46,31,"white",1,0,12,0,0,0,0,4,5,1,0,7.435897,7.416667,40,53,1.982733
6,80,46,33,"white",1,0,12,0,0,0,0,4,6,0,0,9.416667,9.416667,45,78,1.846798
6,82,46,35,"white",1,0,12,0,0,0,0,4,6,0,,11.41667,11.41667,48,98,1.814825
6,83,46,36,"white",1,0,12,0,0,0,0,4,6,1,0,12.41667,12.41667,40,42,1.919913
6,85,46,38,"white",1,0,12,0,0,0,0,4,6,0,,14.41667,14.41667,45,104,1.958377
6,87,46,40,"white",1,0,12,0,0,0,0,4,6,0,,16.41667,16.41667,40,102,2.007068
6,88,46,42,"white",1,0,12,0,0,0,0,4,6,0,0,17.82051,17.75,48,73,2.089854
7,68,49,19,"white",0,1,12,0,0,1,0,4,3,,0,1,.8333333,40,52,1.482067
7,69,49,19,"white",0,1,12,0,0,1,0,4,3,,0,2,1.666667,40,52,1.490434
7,70,49,21,"white",1,0,12,0,0,1,0,4,3,0,0,3.057692,2.75,40,55,1.539446
7,71,49,22,"white",1,0,12,0,0,1,0,4,3,0,0,4,3.75,40,49,1.49388
7,72,49,23,"white",1,0,12,0,0,1,0,4,3,0,0,5.019231,4.75,40,53,1.454573
7,73,49,23,"white",1,0,12,0,0,0,0,4,3,,2,5.096154,4.833333,40,4,1.454573
